Gaming,Last,Overall,Attendance,Preparation
More than 3 Hours,2.55,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.64,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.6,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.6,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.5,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.41,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.55,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.69,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.5,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.42,2.9,40%-59%,0-1 Hour
More than 3 Hours,2.92,2.92,60%-79%,0-1 Hour
More than 3 Hours,2.94,2.94,60%-79%,0-1 Hour
More than 3 Hours,2.94,2.94,60%-79%,0-1 Hour
More than 3 Hours,2.48,2.98,60%-79%,2-3 Hours
More than 3 Hours,3.0,3.0,80%-100%,0-1 Hour
0-1 Hour,2.45,3.0,60%-79%,0-1 Hour
More than 3 Hours,3.0,3.0,60%-79%,0-1 Hour
More than 3 Hours,3.0,3.0,60%-79%,0-1 Hour
More than 3 Hours,3.06,3.06,40%-59%,2-3 Hours
More than 3 Hours,3.06,3.06,40%-59%,2-3 Hours
More than 3 Hours,2.94,3.07,80%-100%,2-3 Hours
2-3 Hours,3.0,3.08,80%-100%,2-3 Hours
2-3 Hours,3.29,3.08,60%-79%,2-3 Hours
2-3 Hours,3.25,3.08,60%-79%,2-3 Hours
2-3 Hours,3.25,3.08,60%-79%,2-3 Hours
2-3 Hours,3.25,3.08,60%-79%,2-3 Hours
2-3 Hours,3.3,3.08,60%-79%,2-3 Hours
2-3 Hours,3.26,3.08,60%-79%,2-3 Hours
2-3 Hours,3.3,3.08,60%-79%,2-3 Hours
2-3 Hours,3.25,3.08,60%-79%,2-3 Hours
2-3 Hours,2.73,3.09,80%-100%,2-3 Hours
2-3 Hours,2.69,3.1,80%-100%,0-1 Hour
More than 3 Hours,2.83,3.1,60%-79%,2-3 Hours
0-1 Hour,3.11,3.11,80%-100%,More than 3 Hours
